ISBN;id_serije;zaporedna_stevilka_serije
9780345480309;49339;6
9780345480309;49339;6
9780345480286;49339;5
9780345480286;49339;5
9780345462008;49339;4
9780345462008;49339;4
9781423346999;49339;10
9781423346999;49339;10
9780689860065;50060;6
9780689860065;50060;6
9780689860065;50060;6
9780345484260;49339;16
9780345484260;49339;16
9780345484260;49339;16
9780345491169;49339;9
9780345491169;49339;9
9780345491145;49339;7
9780345491145;49339;7
9780345335081;49339;17
9780345335081;49339;17
9780345335081;49339;17
9780440917199;97895;6
9780440917199;97895;6
9780593053614;49339;8
9780593053614;49339;8
9780893662134;50060;9
9780893662134;50060;9
9780517287774;49339;3
9780517287774;49339;3
9780689860072;49339;19
9780689860072;49339;19
9780689860072;49339;19
9780689860072;49339;19
9780689860072;49339;19
9780689860072;49339;19
9780439436564;42967;3
9780142406137;41087;4
9780765329059;65565;15
9780765329059;65565;15
9780765329059;65565;15
9780765329066;65565;16
9780765329066;65565;16
9780765329066;65565;16
9780765329042;65565;14
9780765329042;65565;14
9780765329042;65565;14
9780375840401;44866;2
9781416903376;118185;12
9781416903376;118185;12
9781416903376;118185;12
9780345496874;43272;4
9780345300782;62114;7
9780345300782;62114;7
9780765342409;119216;5
9780765342409;119216;5
9780765342409;119216;5
9781582349060;41718;2
9780060855901;109517;1
9780060855901;109517;1
9781741662092;43436;7
9780380821211;109518;04
9780380821211;109518;04
9780399242090;51930;19
9780399242090;51930;19
9781416951179;44452;4
9780316036191;43579;6
9780552153256;208816;3
9780552153256;208816;3
9780552153256;208816;3
9780803734616;57592;2
9780060577360;44897;2
9780451458124;40346;2
9781599901671;41718;4
9780061242458;44897;7
9780547418063;40400;10
9780385732567;43606;2
9780451463791;40346;13
9780688149789;41459;14
9780060502935;159506;4
9780060502935;159506;4
9780060502935;159506;4
9780061561580;195520;4
9780061561580;195520;4
9781416971771;46550;3
B00OZAEYTY;131003;2
9780451458445;40346;3
9780439791434;42783;5
9780439656245;42783;3
9780439791465;42783;4
9780439650762;42783;2
9780439703703;42967;2
9781590388983;43365;3
9780345352668;62114;8
9780345352668;62114;8
9780345352668;62114;8
9780061020643;208816;1
9780061020643;208816;1
9780061020643;208816;1
9781741663020;43436;9
9780441014361;51930;18
9780441014361;51930;18
9780152049416;40400;3
9780552154284;109516;04
9780552154284;109516;04
9780061477959;80111;3
9780385611077;96852;4
9780385611077;96852;4
9788804639923;43790;
9781338151510;44452;5
9780689878565;118185;5
9780689878565;118185;5
9780689878565;118185;5
9780545060462;45556;6
9780375856112;44866;4
9781905294718;44451;3
9780439554008;44451;2
9780007442911;57530;2
9780061056901;109518;05
9780061056901;109518;05
9780545060509;45556;10
9780552154161;106221;4
9780552154161;106221;4
9788025700907;45262;2
9788025700891;45262;2
9780091949792;40650;
9780091949792;40650;
9781606412381;43365;5
9780552148030;62114;9
9780552148030;62114;9
9780812577563;41526;11
9780152020736;72834;2
9780439700887;42967;5
9780439700887;42967;5
9780788720390;56532;3
9780788720390;56532;3
9780788720390;56532;3
9780345522924;43272;9
9781590388006;44025;3
9781606411469;44025;5
9781590384909;44025;2
9781590389638;44025;4
9780345418906;40957;3
9780689878572;118185;7
9780689878572;118185;7
9780689878572;118185;7
9780060590161;195520;2
9780060590161;195520;2
9780142403778;51930;16
9780142403778;51930;16
9780142501108;51930;1
9780142501108;51930;1
9780812513752;41526;6
9780439700900;42967;7
9780552153157;109517;4
9780552153157;109517;4
9780689859380;43889;3
9780810993587;42939;5
9780152020774;72834;3
9780152511609;72834;5
9780152511609;72834;5
9780590396059;159076;5
9780590396059;159076;5
9780590396059;159076;5
9780345335456;62114;5
9780345335456;62114;5
9780061161643;159506;5
9780061161643;159506;5
9780061161643;159506;5
9780312368579;97895;4
9780312368579;97895;4
9780142302392;51930;6
9780142302392;51930;6
9780142501085;51930;13
9780142501085;51930;13
9780441001866;51930;2
9780441001866;51930;2
