id;ime;povprecna_ocena;datum_rojstva;kraj_rojstva
337207;Greg Call;4.03;;
3378915;Jennifer DeLucy;3.88;;
34049;John Flanagan;4.31;19440522;Sydney, Australia
346732;George R.R. Martin;4.37;19480920;Bayonne, New Jersey, The United States
348878;James Dashner;3.94;;
34933;Jane Carruth;4.03;;
3509782;Bridget Zinn;3.93;19771102;The United States
36122;Patricia C. Wrede;4.1;19530327;Chicago, The United States
3618;Philip Pullman;4.01;19461019;Norwich, Norfolk, England, The United Kingdom
361963;Catherine Gilbert Murdock;3.78;;The United States
3624;Kaza Kingsley;4.09;;Cleveland, OH, The United States
366097;J.B. West;4.09;;
36746;Lemony Snicket;3.95;;San Francisco, The United States
3780;James Patterson;3.97;;Newburgh, New York, The United States
38449;Ralph Manheim;4.13;19070404;New York, The United States
38550;Brandon Sanderson;4.38;;Lincoln, Nebraska, The United States
385574;N.M. Bodecker;3.99;;Copenhagen, Denmark
38981;James D. Macdonald;3.79;;White Plains, New York, The United States
38982;Debra Doyle;3.79;19520101;The United States
4;Douglas Adams;4.19;19520311;Cambridge, England, The United Kingdom
4039811;Veronica Roth;4.09;;The United States
4106;Pamela Dean;3.81;19530101;The United States
418792;Christopher Healy;4.12;;The United States
4260;Diana Wynne Jones;4.1;19340816;London, England, The United Kingdom
426944;T.H. White;4.03;19060529;Bombay, India
4273;Roald Dahl;4.11;19160913;Llandaff, Cardiff, Wales, The United Kingdom
428566;Carson Ellis;4.05;19751005;Vancouver, Canada
4308706;Kady Cross;3.87;;Canada
4342215;Marie Lu;4.21;;Wuxi, China
4366471;Sarah Blakley-Cartwright;3.51;;Los Angeles, California, The United States
4411007;Todd Harris;4.04;;
4432;Jasper Fforde;4.02;;London, England, The United Kingdom
44524;Brett Helquist;3.95;;
445303;Maria V. Snyder;4.04;;Philadelphia, Pennsylvania, The United States
4474929;David Leslie Johnson;3.53;;
4512224;Lindsay Buroker;4.2;;Seattle, The United States
4615776;Meagan Spooner;3.94;;Washington, D.C., The United States
4624490;Edgar Allan Poe;4.17;18090119;Boston, Massachusetts, The United States
4637369;Veronica Rossi;4.06;;Rio de Janeiro, Brazil
47104;Melina Marchetta;4.05;;Sydney, Australia
47672;Trenton Lee Stewart;4.19;;The United States
4841825;Marion Zimmer Bradley;3.99;19300603;The United States
49177;Shannon Hale;3.94;;Salt Lake City, Utah, The United States
50786;Elizabeth Goudge;4.12;19000424;Wells, The United Kingdom
5130837;Emlyn Chand;4.03;19841124;
5186274;A.G. Howard;4.02;;
5280531;S.M. Boyce;4.17;;
5329;Brian Jacques;4.05;19390615;Liverpool, The United Kingdom
5339;Robin McKinley;3.97;19521116;Warren, Ohio, The United States
5350;L.M. Montgomery;4.2;18741130;Clifton (New London), Prince Edward Island, Canada
53519;Thomas Malory;3.98;14151117;Warwickshire, England
5360335;Amie Kaufman;4.21;;Melbourne, Australia
5381542;T.S. Hall;3.91;;Portland, OR, The United States
57461;Elizabeth Haydon;4.02;19650101;The United States
5804248;W.W. Denslow;3.98;18560525;Philadelphia, The United States
5816;Darren Shan;4.18;;London, The United Kingdom
5821849;Jennifer Loiske;4.34;;
5830526;Samantha Shannon;3.87;19911108;London, The United Kingdom
589;Orson Scott Card;4.07;19510824;Richland, Washington, The United States
59749;Chris Riddell;4.06;19620413;Capetown, South Africa
60177;Guy Gavriel Kay;4.11;; Weyburn, Saskatchewan, Canada
6206;Jenny Nimmo;3.9;19440115;Windsor, Berkshire, The United Kingdom
6244;Ridley Pearson;4.02;19530313;Glen Cove, New York, The United States
6245;Dave Barry;3.98;19470703;Armonk, New York, The United States
6252;Robert Jordan;4.17;19481017;Charleston, South Carolina, The United States
65334;Peter Ferguson;4.2;;
65335;Michael Buckley;4.19;;Akron, Ohio, The United States
6542656;Karen  Prince;4.18;;Bulawayo, Zimbabwe
6569;Louis Sachar;3.97;19540320;East Meadow, New York, The United States
656983;J.R.R. Tolkien;4.31;18920103;Bloemfontein, Mangaung, Free State, South Africa
6580373;Shane K.P. O'Neill;4.5;;Ireland
67906;Lee Welles;4.15;;Elmira, NY, The United States
679787;Adam McCauley;4.12;;
6810;Wilson Rawls;4.05;19130924;Scraper, Oklahoma, The United States
6921;William Weaver;4.06;19230724;Virginia, The United States
70772;Nancy Bond;4.18;19450108;Bethesda, Maryland, The United States
7093650;Mary Lynn Kotz;4.11;;
7314532;Sally Green;3.87;;The United Kingdom
74046;D.J. MacHale;4.13;;Greenwick, CT, The United States
7477505;Rebecca Nolen;4.37;;The United States
7581;Kelley Armstrong;4.09;;
7717;Richard  Adams;4.04;19200509;Newbury, Berkshire, England, The United Kingdom
7817816;Jan Raymond;4.33;;
7940084;Katie Cross;4.03;;Idaho, The United States
800019;Elizabeth C. Bunce;3.68;;
8106692;Adam Dreece;4.13;;The United Kingdom
815;Carlos Ruiz Zafón;4.11;19640925;Barcelona, Spain
8164;Lewis Carroll;4.06;18320127;Daresbury, Cheshire, England, The United Kingdom
82540;Sara Douglass;3.95;19570602;Penola, Australia
8347;Garth Nix;4.05;;Melbourne, Australia
8349;Christopher Paolini;3.94;19831117;Southern California, The United States
8440277;Rachel E. Carter;4.04;;The United States
85545;Kristen Britain;4.13;;The United States
8596;Tamora Pierce;4.23;;South Connellsville, Pennsylvania, The United States
865752;Andy Rose;4.25;;
8694;Tanith Lee;3.89;19470919;London, The United Kingdom
8730;Naomi Novik;4.01;;New York, The United States
8732;David Eddings;4.07;19310707;Spokane, Washington, The United States
874602;Ursula K. Le Guin;4.04;19291021;Berkeley, California, The United States
8924;Lloyd Alexander;4.05;19240130;Philadelphia, Pennsylvania, The United States
903992;Dianne K. Salerni;3.98;;
94868;Jodi Lynn Anderson;3.84;;Annapolis, MD, The United States
9629;Terry Brooks;3.95;19440108;Sterling, Illinois, The United States
